Ins_dose	Gln_dose	BS	BP
0.00	0.00	0.94637879	101.04795920
0.00	0.00	0.98354611	98.87369541
0.00	0.00	0.96914540	99.68281536
0.00	0.00	1.01072334	100.94814150
0.00	0.00	0.99872859	100.86094260
0.10	0.00	0.94357219	97.37669948
0.10	0.00	0.93624006	97.06800011
0.10	0.00	0.92366985	98.77992271
0.10	0.00	0.81990638	98.30304710
0.10	0.00	0.92117905	96.57216519
0.50	0.00	0.47135964	89.21514988
0.50	0.00	0.49370509	85.37636355
0.50	0.00	0.49966557	91.35302066
0.50	0.00	0.48788908	87.44269717
0.50	0.00	0.49428545	88.22302716
0.00	0.10	1.04760331	100.71227800
0.00	0.10	1.09610148	101.11689200
0.00	0.10	1.09365474	102.45544630
0.00	0.10	1.13272346	103.75508190
0.00	0.10	1.16179731	104.94275440
0.00	0.50	1.47886375	116.67795530
0.00	0.50	1.51155390	118.01659010
0.00	0.50	1.50025348	111.59142560
0.00	0.50	1.54989728	112.55973860
0.00	0.50	1.52103169	111.69190630
0.10	0.10	0.88703800	95.77488877
0.10	0.10	0.92768171	99.60528941
0.10	0.10	0.92801119	95.88026411
0.10	0.10	0.83136474	93.00817184
0.10	0.10	0.86892450	96.74494435
0.10	0.50	1.30615676	106.62187820
0.10	0.50	1.26968333	103.02373880
0.10	0.50	1.33278134	109.15796100
0.10	0.50	1.29213525	108.96331870
0.10	0.50	1.25967118	108.41762930
0.50	0.10	0.36546372	83.45908242
0.50	0.10	0.25531906	80.79088765
0.50	0.10	0.20308067	82.07817599
0.50	0.10	0.38055712	84.63344533
0.50	0.10	0.32265216	81.73227935
0.50	0.50	0.44787640	87.06850786
0.50	0.50	0.52746826	84.72055000
0.50	0.50	0.55013305	88.55090964
0.50	0.50	0.47584227	84.23378041
0.50	0.50	0.47196915	88.86695249
